Symbol,Name,Market_id
ISGSY.IS,İŞ GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,1
ISMEN.IS,İŞ YATIRIM MENKUL DEĞERLER A.Ş.,1
ISYAT.IS,İŞ YATIRIM ORTAKLIĞI A.Ş.,1
ISBIR.IS,İŞBİR HOLDİNG A.Ş.,1
ISSEN.IS,İŞBİR SENTETİK DOKUMA SANAYİ A.Ş.,1
IZINV.IS,İZ YATIRIM HOLDİNG A.Ş.,1
IZENR.IS,İZDEMİR ENERJİ ELEKTRİK ÜRETİM A.Ş.,1
IZMDC.IS,İZMİR DEMİR ÇELİK SANAYİ A.Ş.,1
IZFAS.IS,İZMİR FIRÇA SANAYİ VE TİCARET A.Ş.,1
JANTS.IS,JANTSA JANT SANAYİ VE TİCARET A.Ş.,1
KFEIN.IS,KAFEİN YAZILIM HİZMETLERİ TİCARET A.Ş.,1
KLKIM.IS,KALEKİM KİMYEVİ MADDELER SANAYİ VE TİCARET A.Ş.,1
KLSER.IS,KALESERAMİK ÇANAKKALE KALEBODUR SERAMİK SANAYİ A.Ş.,1
KAPLM.IS,KAPLAMİN AMBALAJ SANAYİ VE TİCARET A.Ş.,1
KRDMA.IS,KARDEMİR KARABÜK DEMİR ÇELİK SANAYİ VE TİCARET A.Ş.,1
KRDMB.IS,KARDEMİR KARABÜK DEMİR ÇELİK SANAYİ VE TİCARET A.Ş.,1
KRDMD.IS,KARDEMİR KARABÜK DEMİR ÇELİK SANAYİ VE TİCARET A.Ş.,1
KAREL.IS,KAREL ELEKTRONİK SANAYİ VE TİCARET A.Ş.,1
KARSN.IS,KARSAN OTOMOTİV SANAYİİ VE TİCARET A.Ş.,1
KRTEK.IS,KARSU TEKSTİL SANAYİİ VE TİCARET A.Ş.,1
KARYE.IS,KARTAL YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.,1
KARTN.IS,KARTONSAN KARTON SANAYİ VE TİCARET A.Ş.,1
